EventID,EventType,EventDate,BookingLocation,Region,Team,Product,SourceSystem,Severity,IssueType
E0000334,Limit Breach,2025-01-07,,,Front Office,Structured Products,Core Banking,Medium,Missing BookingLocation
E0000392,Data Quality Issue,2025-01-08,,,Client Onboarding,Discretionary,Core Banking,High,Missing BookingLocation
E0000595,Processing Error,2025-01-11,,,Operations,Advisory,CRM,Low,Missing BookingLocation
E0000890,Incident,2025-01-16,,,Compliance & Controls,Lombard Lending,Monitoring Tool,Medium,Missing BookingLocation
E0001268,Processing Error,2025-01-23,,,Client Onboarding,Lombard Lending,CRM,High,Missing BookingLocation
E0001285,Limit Breach,2025-01-23,,,Front Office,Lombard Lending,Email Intake,Medium,Missing BookingLocation
E0001602,Processing Error,2025-01-29,,,Operations,Advisory,CRM,Medium,Missing BookingLocation
E0001635,High-Risk Transaction,2025-01-30,,,Front Office,Execution-only,CRM,Low,Missing BookingLocation
E0001866,High-Risk Transaction,2025-02-04,,,Front Office,Discretionary,Core Banking,Low,Missing BookingLocation
E0001981,Reconciliation Break,2025-02-06,,,Operations,Lombard Lending,Workflow,Low,Missing BookingLocation
E0002141,Incident,2025-02-08,,,Operations,Execution-only,CRM,Low,Missing BookingLocation
E0002326,Incident,2025-02-12,,,Operations,Execution-only,CRM,Low,Missing BookingLocation
E0002998,Processing Error,2025-02-23,,,Operations,Lombard Lending,Core Banking,High,Missing BookingLocation
E0003053,Data Quality Issue,2025-02-24,,,Front Office,Lombard Lending,CRM,Low,Missing BookingLocation
E0003763,Complaint,2025-03-09,,,Compliance & Controls,Advisory,CRM,High,Missing BookingLocation
E0004057,Processing Error,2025-03-13,,,Operations,Advisory,CRM,Low,Missing BookingLocation
E0004076,Processing Error,2025-03-13,,,Operations,Execution-only,Workflow,Medium,Missing BookingLocation
E0004371,High-Risk Transaction,2025-03-18,,,Front Office,Structured Products,Workflow,High,Missing BookingLocation
E0004577,Data Quality Issue,2025-03-21,,,Client Onboarding,Discretionary,CRM,Medium,Missing BookingLocation
E0004684,Data Quality Issue,2025-03-24,,,Front Office,Execution-only,Email Intake,Medium,Missing BookingLocation
E0005130,Incident,2025-03-31,,,Operations,Lombard Lending,Workflow,Low,Missing BookingLocation
E0005337,Processing Error,2025-04-04,,,Operations,Execution-only,CRM,Medium,Missing BookingLocation
E0005795,Processing Error,2025-04-11,,,Operations,Advisory,CRM,High,Missing BookingLocation
E0005842,KYC Review Overdue,2025-04-12,,,Front Office,Execution-only,Workflow,Medium,Missing BookingLocation
E0006705,Data Quality Issue,2025-04-26,,,Operations,Discretionary,CRM,High,Missing BookingLocation
E0008259,Incident,2025-05-22,,,Compliance & Controls,Discretionary,Monitoring Tool,Medium,Missing BookingLocation
E0008846,Overdue Task,2025-06-01,,,Front Office,Advisory,Workflow,Low,Missing BookingLocation
E0009163,KYC Review Overdue,2025-06-06,,,Front Office,Lombard Lending,Workflow,Medium,Missing BookingLocation
E0009457,Processing Error,2025-06-12,,,Front Office,Execution-only,Workflow,Low,Missing BookingLocation
E0009738,Processing Error,2025-06-17,,,Operations,Execution-only,CRM,Medium,Missing BookingLocation
E0009762,Processing Error,2025-06-17,,,Operations,Lombard Lending,Monitoring Tool,Medium,Missing BookingLocation
E0010819,Reconciliation Break,2025-07-07,,,Operations,Lombard Lending,Monitoring Tool,Low,Missing BookingLocation
E0011357,High-Risk Transaction,2025-07-17,,,Front Office,Execution-only,CRM,Critical,Missing BookingLocation
E0011530,High-Risk Transaction,2025-07-20,,,Front Office,Structured Products,CRM,Critical,Missing BookingLocation
E0011954,Processing Error,2025-07-27,,,Operations,Advisory,Monitoring Tool,Low,Missing BookingLocation
E0013084,Processing Error,2025-08-18,,,Client Onboarding,Lombard Lending,CRM,Medium,Missing BookingLocation
E0013220,Limit Breach,2025-08-21,,,Front Office,Structured Products,Monitoring Tool,Medium,Missing BookingLocation
E0013404,Data Quality Issue,2025-08-25,,,Client Onboarding,Lombard Lending,Monitoring Tool,Medium,Missing BookingLocation
E0013692,Processing Error,2025-08-30,,,Operations,Discretionary,Monitoring Tool,Low,Missing BookingLocation
E0013732,Reconciliation Break,2025-08-31,,,Operations,Advisory,Monitoring Tool,Low,Missing BookingLocation
E0014329,Processing Error,2025-09-12,,,Operations,Discretionary,Monitoring Tool,Low,Missing BookingLocation
E0014340,Data Quality Issue,2025-09-12,,,Operations,Discretionary,Workflow,Low,Missing BookingLocation
E0014416,Data Quality Issue,2025-09-14,,,Client Onboarding,Lombard Lending,Core Banking,High,Missing BookingLocation
E0014447,Processing Error,2025-09-14,,,Operations,Discretionary,Monitoring Tool,Low,Missing BookingLocation
E0015017,Processing Error,2025-09-26,,,Operations,Discretionary,Email Intake,Low,Missing BookingLocation
E0015983,Reconciliation Break,2025-10-14,,,Operations,Advisory,Email Intake,Low,Missing BookingLocation
E0016553,Processing Error,2025-10-26,,,Front Office,Execution-only,Core Banking,Medium,Missing BookingLocation
E0017378,Processing Error,2025-11-10,,,Operations,Structured Products,Email Intake,Low,Missing BookingLocation
